higher_score,lower_score,count,probability,scoreline
1,0,1829200,0.1758846153846154,1-0
2,1,1475520,0.14187692307692307,2-1
2,0,1469299,0.14127875,2-0
1,1,953790,0.09171057692307692,1-1
3,0,851092,0.08183576923076923,3-0
0,0,737697,0.07093240384615385,0-0
3,1,713899,0.06864413461538461,3-1
4,0,431557,0.04149586538461539,4-0
3,2,382963,0.036823365384615385,3-2
2,2,327384,0.031479230769230766,2-2
4,1,312220,0.030021153846153847,4-1
5,0,199370,0.019170192307692308,5-0
4,2,142860,0.013736538461538461,4-2
5,1,129658,0.012467115384615384,5-1
6,0,86936,0.00835923076923077,6-0
3,3,61465,0.005910096153846154,3-3
4,3,55239,0.005311442307692308,4-3
6,1,50619,0.004867211538461538,6-1
5,2,49888,0.004796923076923077,5-2
7,0,35824,0.0034446153846153845,7-0
7,1,19352,0.0018607692307692307,7-1
6,2,17254,0.0016590384615384616,6-2
5,3,16434,0.0015801923076923076,5-3
8,0,13780,0.001325,8-0
4,4,7247,0.0006968269230769231,4-4
8,1,6883,0.0006618269230769231,8-1
7,2,5826,0.0005601923076923077,7-2
5,4,5241,0.0005039423076923077,5-4
6,3,4788,0.0004603846153846154,6-3
8,2,1926,0.00018519230769230768,8-2
7,3,1510,0.00014519230769230768,7-3
6,4,1322,0.00012711538461538462,6-4
5,5,609,5.855769230769231e-05,5-5
8,3,425,4.0865384615384615e-05,8-3
6,5,365,3.5096153846153845e-05,6-5
7,4,305,2.932692307692308e-05,7-4
8,4,93,8.942307692307692e-06,8-4
7,5,74,7.115384615384615e-06,7-5
6,6,48,4.615384615384615e-06,6-6
7,6,16,1.5384615384615385e-06,7-6
8,5,12,1.1538461538461538e-06,8-5
7,7,3,2.8846153846153846e-07,7-7
8,6,3,2.8846153846153846e-07,8-6
9,4,2,1.9230769230769231e-07,9-4
8,7,1,9.615384615384616e-08,8-7
9,5,1,9.615384615384616e-08,9-5
