Team,Group,Win group,Escape
Mexico,A,0.45524,0.8868199999999999
South Korea,A,0.32795,0.81819
South Africa,A,0.11536,0.53796
Czech Republic,A,0.10145,0.49092
Switzerland,B,0.63839,0.98461
Canada,B,0.32618,0.93889
Bosnia and Herzegovina,B,0.01756,0.3254
Qatar,B,0.01787,0.32330000000000003
Morocco,C,0.51602,0.98201
Brazil,C,0.44801,0.9772200000000001
Scotland,C,0.03106,0.52352
Haiti,C,0.00491,0.14677
Australia,D,0.33507,0.79924
USA,D,0.29302,0.75735
Turkey,D,0.27366,0.73387
Paraguay,D,0.09825,0.45899
Germany,E,0.54076,0.95459
Côte d'Ivoire,E,0.25605,0.84627
Ecuador,E,0.1917,0.7855000000000001
Curaçao,E,0.01149,0.14853
Japan,F,0.54745,0.9619200000000001
Netherlands,F,0.36098,0.9220900000000001
Tunisia,F,0.07528,0.5818099999999999
Sweden,F,0.01629,0.20987
Belgium,G,0.34911,0.7993
Iran,G,0.30618,0.76096
Egypt,G,0.23631,0.71085
New Zealand,G,0.1084,0.47184
Spain,H,0.89058,0.9986200000000001
Uruguay,H,0.09663,0.84429
Cabo Verde,H,0.00802,0.35321
Saudi Arabia,H,0.00477,0.25390999999999997
France,I,0.4725,0.93834
Norway,I,0.31408,0.8866
Senegal,I,0.20296,0.7973100000000001
Iraq,I,0.01046,0.13506
Argentina,J,0.76278,0.98582
Algeria,J,0.15411,0.79904
Austria,J,0.05954,0.54895
Jordan,J,0.02357,0.32022000000000006
Portugal,K,0.53855,0.91072
Colombia,K,0.27024,0.7745299999999999
Uzbekistan,K,0.11779,0.55969
DR Congo,K,0.07342,0.43579
England,L,0.82663,0.99657
Croatia,L,0.13158,0.86443
Panama,L,0.03768,0.60419
Ghana,L,0.00411,0.15412
