Team,Win,Reach Final,Reach Semi,Reach Quarter,Reach R16
Spain,0.25032,0.3967,0.53533,0.61756,0.7671
Argentina,0.22378,0.3478,0.51023,0.64851,0.75568
England,0.12858,0.22674,0.38088,0.56661,0.73824
Morocco,0.05985,0.12128,0.24104,0.40876,0.60254
France,0.05901,0.12566,0.26039,0.46183,0.68926
Portugal,0.05357,0.11947,0.2292,0.43072,0.65888
Japan,0.04931,0.10818,0.23147,0.39095,0.53364
Brazil,0.0334,0.07999,0.18567,0.34831,0.5462
Norway,0.02538,0.06744,0.16513,0.34802,0.58457
Netherlands,0.01698,0.04875,0.1284,0.26632,0.42288
Colombia,0.01505,0.04258,0.10123,0.21635,0.45131
Senegal,0.01378,0.03916,0.10358,0.24981,0.46198
Algeria,0.01166,0.03617,0.08795,0.18817,0.32845
Germany,0.01122,0.03767,0.11541,0.26548,0.60758
Mexico,0.00723,0.02451,0.0752,0.20613,0.55544
Uruguay,0.00607,0.02141,0.06061,0.14349,0.27633
Belgium,0.00521,0.02018,0.06097,0.21265,0.48985
Côte d'Ivoire,0.00322,0.01235,0.04531,0.13976,0.40028
Ecuador,0.0032,0.01214,0.04139,0.12499,0.35521
Egypt,0.00306,0.01265,0.04155,0.14591,0.38743
Iran,0.00303,0.01367,0.0451,0.17737,0.44613
Croatia,0.00287,0.01204,0.04014,0.10243,0.34023
Australia,0.00263,0.01118,0.04031,0.15972,0.42003
Uzbekistan,0.00237,0.0097,0.03139,0.08617,0.23887
Switzerland,0.00197,0.00998,0.04284,0.15924,0.50612
Austria,0.00142,0.00669,0.02302,0.08259,0.19096
South Korea,0.00136,0.00721,0.03257,0.13033,0.45286
USA,0.00096,0.00573,0.0258,0.12331,0.36657
DR Congo,0.00094,0.00414,0.01512,0.0472,0.15442
Tunisia,0.00078,0.00417,0.01901,0.06445,0.16581
Canada,0.00058,0.00389,0.02156,0.10017,0.41139
Turkey,0.00044,0.00357,0.01755,0.10449,0.33524
New Zealand,0.00031,0.00206,0.00968,0.05052,0.19545
Panama,0.00013,0.00109,0.00637,0.03121,0.13462
South Africa,9e-05,0.00106,0.00669,0.04599,0.20707
Jordan,8e-05,0.0009,0.00574,0.02901,0.08896
Paraguay,8e-05,0.00073,0.0045,0.02999,0.14006
Cabo Verde,2e-05,0.0002,0.00153,0.01064,0.06059
Scotland,2e-05,0.00044,0.00345,0.02129,0.1228
Sweden,1e-05,0.00011,0.00086,0.00619,0.02737
Czech Republic,1e-05,0.0004,0.00347,0.03255,0.17678
Iraq,1e-05,0.00015,0.00105,0.00781,0.03267
Saudi Arabia,1e-05,5e-05,0.0009,0.00613,0.03796
Curaçao,0.0,0.0,9e-05,0.00174,0.02107
Qatar,0.0,0.0,4e-05,0.00274,0.03909
Ghana,0.0,1e-05,0.00018,0.00176,0.01527
Haiti,0.0,0.0,8e-05,0.00148,0.01753
Bosnia and Herzegovina,0.0,0.0,2e-05,0.00315,0.04123
