team,attack_rating,defence_rating,current_elo,weight,raw_scored,raw_conceded,schedule_faced,squad_value
Algeria,1.706442,0.752,1743.0,1.0,1.706442,0.752,0.0,0.0
Argentina,1.722832,0.563877,2113.0,1.0,1.722832,0.563877,0.0,0.0
Australia,1.188795,0.869466,1783.0,1.0,1.188795,0.869466,0.0,0.0
Austria,1.464968,1.125702,1827.0,1.0,1.464968,1.125702,0.0,0.0
Belgium,1.397989,0.97952,1867.0,1.0,1.397989,0.97952,0.0,0.0
Bosnia and Herzegovina,0.885149,1.764945,1594.0,1.0,0.885149,1.764945,0.0,0.0
Brazil,1.462389,0.759429,1984.0,1.0,1.462389,0.759429,0.0,0.0
Cabo Verde,1.130603,1.040669,1549.0,1.0,1.130603,1.040669,0.0,0.0
Canada,1.11204,1.05383,1784.0,1.0,1.11204,1.05383,0.0,0.0
Colombia,1.381359,0.871412,1975.0,1.0,1.381359,0.871412,0.0,0.0
Croatia,1.294259,1.089782,1930.0,1.0,1.294259,1.089782,0.0,0.0
Curaçao,1.141978,1.145785,1436.0,1.0,1.141978,1.145785,0.0,0.0
Czech Republic,1.209272,1.371104,1726.0,1.0,1.209272,1.371104,0.0,0.0
Côte d'Ivoire,1.476692,0.774438,1676.0,1.0,1.476692,0.774438,0.0,0.0
DR Congo,1.059516,0.678997,1655.0,1.0,1.059516,0.678997,0.0,0.0
Ecuador,0.767703,0.700661,1933.0,1.0,0.767703,0.700661,0.0,0.0
Egypt,1.176812,0.689063,1689.0,1.0,1.176812,0.689063,0.0,0.0
England,1.848336,0.653746,2020.0,1.0,1.848336,0.653746,0.0,0.0
France,1.814708,0.950956,2081.0,1.0,1.814708,0.950956,0.0,0.0
Germany,1.890819,1.137376,1923.0,1.0,1.890819,1.137376,0.0,0.0
Ghana,1.159605,1.299142,1503.0,1.0,1.159605,1.299142,0.0,0.0
Haiti,1.172177,1.453812,1532.0,1.0,1.172177,1.453812,0.0,0.0
Iran,1.623946,1.018053,1760.0,1.0,1.623946,1.018053,0.0,0.0
Iraq,1.050687,0.996641,1607.0,1.0,1.050687,0.996641,0.0,0.0
Japan,1.869671,0.742201,1904.0,1.0,1.869671,0.742201,0.0,0.0
Jordan,1.450156,1.155415,1690.0,1.0,1.450156,1.155415,0.0,0.0
Mexico,1.125826,0.743997,1860.0,1.0,1.125826,0.743997,0.0,0.0
Morocco,1.469028,0.465678,1822.0,1.0,1.469028,0.465678,0.0,0.0
Netherlands,1.862971,1.071014,1961.0,1.0,1.862971,1.071014,0.0,0.0
New Zealand,1.2613,0.877153,1585.0,1.0,1.2613,0.877153,0.0,0.0
Norway,2.098992,1.036061,1912.0,1.0,2.098992,1.036061,0.0,0.0
Panama,1.373483,1.301534,1737.0,1.0,1.373483,1.301534,0.0,0.0
Paraguay,0.795364,1.139643,1833.0,1.0,0.795364,1.139643,0.0,0.0
Portugal,1.969877,0.914824,1984.0,1.0,1.969877,0.914824,0.0,0.0
Qatar,1.13891,1.541395,1425.0,1.0,1.13891,1.541395,0.0,0.0
Saudi Arabia,0.823615,0.996043,1568.0,1.0,0.823615,0.996043,0.0,0.0
Scotland,1.250041,1.443414,1767.0,1.0,1.250041,1.443414,0.0,0.0
Senegal,1.430007,0.76811,1878.0,1.0,1.430007,0.76811,0.0,0.0
South Africa,1.23897,0.884772,1524.0,1.0,1.23897,0.884772,0.0,0.0
South Korea,1.508196,1.071141,1752.0,1.0,1.508196,1.071141,0.0,0.0
Spain,2.263859,0.843784,2165.0,1.0,2.263859,0.843784,0.0,0.0
Sweden,1.36083,1.510282,1719.0,1.0,1.36083,1.510282,0.0,0.0
Switzerland,1.493887,1.291509,1889.0,1.0,1.493887,1.291509,0.0,0.0
Tunisia,1.116235,0.677683,1636.0,1.0,1.116235,0.677683,0.0,0.0
Turkey,1.43329,1.530025,1902.0,1.0,1.43329,1.530025,0.0,0.0
USA,1.407256,1.013296,1721.0,1.0,1.407256,1.013296,0.0,0.0
Uruguay,1.027165,0.741338,1892.0,1.0,1.027165,0.741338,0.0,0.0
Uzbekistan,1.212102,0.72398,1727.0,1.0,1.212102,0.72398,0.0,0.0
