elo_weight,nll,rho,g,likelihood_ratio,inside_95_interval
0.0,1888.070891999801,-0.1023,1.0775,0.9942156355418774,True
0.05,1887.7200339251867,-0.1032,1.0811,0.2924994863133179,True
0.1,1887.57378418203,-0.1041,1.0846,0.0,True
0.15,1887.6326672707369,-0.105,1.0879,0.11776617741361406,True
0.2,1887.897207782119,-0.106,1.0911,0.6468472001779446,True
0.25,1888.3679304580066,-0.1069,1.0942,1.5882925519531454,True
0.3,1889.045360257553,-0.1079,1.0972,2.943152151045979,True
0.35,1889.930022428673,-0.1088,1.1,4.712476493285976,False
0.4,1891.0224425839451,-0.1098,1.1027,6.897316803830108,False
0.45,1892.3231467801847,-0.1107,1.1053,9.498725196309351,False
0.5,1893.8326616008028,-0.1117,1.1078,12.517754837545453,False
