raw_weight,nll,rho,g,likelihood_ratio,inside_95_interval
0.0,1888.526500415247,-0.1089,1.0877,0.0,True
0.02,1888.5529115010008,-0.1087,1.0897,0.05282217150761426,True
0.04,1888.617944768806,-0.1085,1.0916,0.1828887071178542,True
0.06,1888.7216577019287,-0.1083,1.0935,0.3903145733634119,True
0.08,1888.8641093315393,-0.1081,1.0953,0.6752178325846216,True
0.1,1889.045360257553,-0.1079,1.0972,1.0377196846120569,True
0.12,1889.2654726696555,-0.1076,1.099,1.4779445088170178,True
0.14,1889.5245103685272,-0.1074,1.1008,1.9960199065603774,True
0.16,1889.8225387872576,-0.1071,1.1026,2.592076744021142,True
0.18,1890.1596250129778,-0.1068,1.1043,3.266249195461569,True
0.2,1890.5358378086553,-0.1066,1.1061,4.0186747868165185,False
0.22,1890.9512476351258,-0.1063,1.1078,4.849494439757564,False
0.24,1891.4059266732859,-0.106,1.1095,5.758852516077695,False
