rho,nll,likelihood_ratio,inside_95_interval
-0.2,1889.8781273071813,3.2814592290787914,True
-0.195,1889.7014673394556,2.9281392936272823,True
-0.19,1889.5353165184133,2.5958376515427517,True
-0.185,1889.379577386388,2.284359387492259,True
-0.18,1889.2341566890036,1.9935179927233548,True
-0.175,1889.098965215471,1.7231350456581822,True
-0.17,1888.9739176486055,1.473039911927117,True
-0.165,1888.858932423895,1.2430694625063552,True
-0.16,1888.7539315969575,1.033067808631131,True
-0.155,1888.6588407188326,0.8428860523813455,True
-0.15,1888.5735887185683,0.6723820518527646,True
-0.145,1888.4981077926216,0.521420199959266,True
-0.14,1888.4323333006193,0.38987121595482677,True
-0.135,1888.3762036670792,0.2776119488744371,True
-0.13,1888.3296602887037,0.1845251921236013,True
-0.125,1888.292647446905,0.110499508526118,True
-0.12,1888.26511222524,0.05542906519622193,True
-0.115,1888.2470044314532,0.019213477622542996,True
-0.11,1888.2382765238608,0.001757662437739782,True
-0.105,1888.2388835418167,0.0029716983494836313,True
-0.1,1888.248783040028,0.022770694772134448,True
-0.095,1888.2679350265053,0.061074667726643384,True
-0.09,1888.296301903938,0.11780842259213387,True
-0.085,1888.3338484143158,0.19290144334763681,True
-0.08,1888.3805415866177,0.28628778795155085,True
-0.075,1888.4363506874047,0.3979059895254977,True
-0.07,1888.501247174171,0.5276989630583557,True
-0.065,1888.5752046513107,0.6756139173376141,True
-0.06,1888.658198828565,0.8416022718461136,True
-0.055,1888.7502074818362,1.0256195783886142,True
-0.05,1888.8512104162469,1.2276254472099026,True
-0.045,1888.9611894313434,1.4475834774029863,True
-0.04,1889.0801282883426,1.685461191401373,True
-0.035,1889.2080126793314,1.941229973378995,True
-0.03,1889.3448301988815,2.2148650124790947,True
-0.025,1889.4905703140498,2.506345242815769,True
-0.02,1889.6452243446606,2.815653304037369,True
-0.015,1889.8087854337323,3.1427754821806957,True
-0.01,1889.9812485281172,3.487701670950628,True
-0.005,1890.1626103571857,3.8504253290875567,False
0.0,1890.3528694135307,4.2309434417775265,False
0.005,1890.5520259350778,4.629256484871803,False
0.01,1890.7600818885269,5.045368391769898,False
0.015,1890.9770409540915,5.479286522899201,False
0.02,1891.202908511494,5.931021637703907,False
0.025,1891.43769162716,6.400587869035917,False
0.03,1891.681399042589,6.888002699894059,False
0.035,1891.9340411638545,7.39328694242522,False
0.04,1892.195630052198,7.916464719112355,False
0.045,1892.4661794156991,8.457563446114364,False
0.05,1892.7457046019695,9.01661381865506,False
0.055,1893.0342225918648,9.593649798445767,False
0.06,1893.3317519941752,10.188708603066516,False
0.065,1893.638313041277,10.801830697269907,False
0.07,1893.953927585721,11.433059786158083,False
0.075,1894.2786190977367,12.082442810189605,False
0.08,1894.6124126636387,12.750029941993489,False
0.085,1894.955334985114,13.435874584944031,False
0.09,1895.3074143793754,14.14003337346685,False
0.095,1895.6686807801718,14.862566175059783,False
0.1,1896.0391657396417,15.603536093999537,False
0.105,1896.4189024309944,16.363009476704974,False
0.11,1896.8079256520255,17.14105591876705,False
0.115,1897.2062718294392,17.93774827359448,False
0.12,1897.6139790239915,18.753162662699197,False
0.125,1898.031086936444,19.587378487603928,False
0.13,1898.4576369143197,20.44047844335546,False
0.135,1898.8936719594717,21.312548533659537,False
0.14,1899.3392367364745,22.20367808766514,False
0.145,1899.7943775818076,23.113959778331264,False
0.15,1900.2591425138874,24.04348964249084,False
0.155,1900.7335812439173,24.992367102550816,False
0.16,1901.2177451875832,25.96069498988254,False
0.165,1901.7116874776143,26.94857956994474,False
0.17,1902.215462977203,27.95613056912225,False
0.175,1902.729128294346,28.983461203408297,False
0.18,1903.2527417970705,30.0306882088571,False
0.185,1903.7863636296288,31.09793187397372,False
0.19,1904.330055729652,32.18531607402019,False
0.195,1904.8838818463362,33.29296830738849,False
0.2,1905.4479075596328,34.421019733981666,False
