shrinkage,nll,rho,g,likelihood_ratio,inside_95_interval
0.7,1895.2100826338528,-0.1075,1.1314,15.815707318235127,False
0.72,1894.055904648961,-0.1076,1.1267,13.507351348451266,False
0.74,1892.9930475242356,-0.1077,1.1218,11.381637099000727,False
0.76,1892.0214201668323,-0.1077,1.117,9.438382384194028,False
0.78,1891.1409307164945,-0.1078,1.1121,7.677403483518447,False
0.8,1890.3514865724417,-0.1078,1.1072,6.098515195412801,False
0.82,1889.652994420071,-0.1078,1.1022,4.70153089067162,False
0.84,1889.045360257553,-0.1079,1.0972,3.4862625656355704,True
0.86,1888.5284894222016,-0.1078,1.0921,2.4525208949326043,True
0.88,1888.1022866166452,-0.1078,1.0871,1.6001152838198323,True
0.9,1887.766655934758,-0.1078,1.0819,0.9288539200456398,True
0.92,1887.5215008872892,-0.1078,1.0768,0.43854382510789947,True
0.94,1887.366724427213,-0.1077,1.0716,0.12899090495557175,True
0.96,1887.3022289747353,-0.1076,1.0664,0.0,True
0.98,1887.3279164419391,-0.1076,1.0612,0.05137493440770413,True
1.0,1887.4436882570476,-0.1075,1.0559,0.2829185646246515,True
