value_weight,nll,rho,g,likelihood_ratio,inside_95_interval
0.0,1896.04639085574,-0.1073,1.1198,14.347318912935407,False
0.01,1894.4248213883761,-0.1076,1.117,11.104179978207867,False
0.02,1893.0105607247078,-0.1078,1.114,8.275658650871264,False
0.03,1891.8035155364266,-0.1079,1.1109,5.8615682743088655,False
0.04,1890.803584928095,-0.108,1.1076,3.861707057645617,False
0.05,1890.0106605329347,-0.108,1.1043,2.2758582673250203,True
0.06,1889.4246266263647,-0.108,1.1008,1.1037904541849457,True
0.07,1889.045360257553,-0.1079,1.0972,0.34525771656171855,True
0.08,1888.8727313992722,-0.1077,1.0934,0.0,True
0.09,1888.9066031161817,-0.1074,1.0896,0.06774343381903236,True
0.1,1889.146831751625,-0.1071,1.0856,0.5482007047057778,True
0.11,1889.5932671329133,-0.1067,1.0816,1.4410714672821996,True
0.12,1890.2457527949487,-0.1063,1.0774,2.74604279135292,True
0.13,1891.104126221921,-0.1057,1.0731,4.462789645297562,False
0.14,1892.1682191067166,-0.1052,1.0687,6.590975414888817,False
0.15,1893.4378576274783,-0.1045,1.0641,9.130252456412109,False
