team,fifa_elo
France,1877.32
Spain,1876.4
Argentina,1874.81
England,1825.97
Portugal,1763.83
Brazil,1761.16
Netherlands,1757.87
Morocco,1755.87
Belgium,1734.71
Germany,1730.37
Croatia,1717.07
Italy,1700.37
Colombia,1693.09
Senegal,1688.99
Mexico,1681.03
USA,1673.13
Uruguay,1673.07
Japan,1660.43
Switzerland,1649.4
Denmark,1620.81
Iran,1615.3
Turkey,1599.04
Ecuador,1594.78
Austria,1593.45
South Korea,1588.66
Nigeria,1585.09
Australia,1580.67
Algeria,1564.26
Egypt,1563.24
Canada,1556.48
Norway,1550.94
Ukraine,1546.88
Panama,1540.64
Côte d'Ivoire,1532.98
Poland,1528.0
Russia,1525.6
Wales,1524.29
Sweden,1514.77
Serbia,1508.65
Paraguay,1503.5
Czech Republic,1501.38
Hungary,1500.58
Scotland,1498.35
Tunisia,1483.05
Cameroon,1481.24
DR Congo,1478.35
Greece,1475.82
Slovakia,1473.94
Venezuela,1468.05
Uzbekistan,1465.34
Costa Rica,1459.9
Mali,1459.13
Peru,1455.87
Chile,1455.28
Qatar,1454.96
Romania,1451.16
Iraq,1447.14
Slovenia,1446.44
Republic of Ireland,1436.63
South Africa,1429.73
Saudi Arabia,1421.43
Burkina Faso,1412.49
Jordan,1391.45
Albania,1388.06
Bosnia and Herzegovina,1385.84
Honduras,1380.27
North Macedonia,1372.04
United Arab Emirates,1370.47
Cabo Verde,1366.13
Northern Ireland,1362.16
Jamaica,1358.0
Georgia,1350.18
Finland,1346.41
Ghana,1346.31
Iceland,1345.07
Bolivia,1329.42
Israel,1328.33
Kosovo,1318.83
Oman,1313.46
Guinea,1300.01
Montenegro,1295.52
Curaçao,1294.65
Haiti,1291.71
Syria,1288.56
New Zealand,1281.57
Bulgaria,1278.9
Gabon,1272.51
Uganda,1264.09
Angola,1263.1
Benin,1258.98
Bahrain,1258.53
Zambia,1255.82
Thailand,1252.14
China PR,1251.6
Palestine,1244.73
Guatemala,1243.47
Belarus,1235.82
Luxembourg,1227.77
Vietnam,1225.68
El Salvador,1225.26
Mozambique,1224.31
Trinidad and Tobago,1222.94
Tajikistan,1221.78
Madagascar,1203.76
Equatorial Guinea,1195.2
Armenia,1191.42
Kyrgyzstan,1191.14
Lebanon,1187.96
Comoros,1187.91
Kazakhstan,1182.96
Kenya,1182.23
Libya,1182.08
Tanzania,1180.27
Niger,1179.66
Mauritania,1170.72
Gambia,1160.38
Sudan,1157.22
North Korea,1151.05
Sierra Leone,1148.98
Namibia,1148.84
Togo,1147.31
Indonesia,1144.88
Faroe Islands,1137.14
Azerbaijan,1136.67
Suriname,1132.43
Cyprus,1128.33
Malawi,1128.03
Rwanda,1126.62
Estonia,1121.1
Zimbabwe,1118.12
Nicaragua,1115.13
Guinea-Bissau,1108.38
Congo,1105.96
Kuwait,1105.1
Philippines,1094.1
India,1091.03
Latvia,1090.57
Malaysia,1086.22
Central African Republic,1083.57
Liberia,1079.02
Turkmenistan,1078.65
Burundi,1078.01
Dominican Republic,1077.95
Ethiopia,1071.55
Lesotho,1067.13
Botswana,1063.63
Singapore,1059.53
Lithuania,1058.42
Yemen,1049.49
Guyana,1049.32
New Caledonia,1036.95
Saint Kitts and Nevis,1036.33
Solomon Islands,1031.89
Fiji,1029.7
Hong Kong,1026.63
Puerto Rico,1026.11
Tahiti,1019.04
Myanmar,1011.88
Moldova,1004.16
Vanuatu,997.01
Malta,987.73
Antigua and Barbuda,986.58
Grenada,982.57
Cuba,981.42
Eswatini,979.01
Bermuda,976.87
Saint Lucia,976.71
Papua New Guinea,974.9
Afghanistan,972.75
South Sudan,970.94
Saint Vincent and the Grenadines,968.27
Maldives,954.93
Andorra,945.34
Taiwan,923.78
Montserrat,916.75
Nepal,914.54
Cambodia,911.54
Mauritius,911.49
Barbados,909.89
Belize,907.0
Bangladesh,899.53
Dominica,897.69
Chad,896.65
Eritrea,887.06
Laos,885.03
Bhutan,880.55
Mongolia,879.75
Cook Islands,877.53
Aruba,877.3
Samoa,876.41
Sri Lanka,871.82
American Samoa,871.61
Brunei,863.09
Macau,858.03
Cayman Islands,855.45
São Tomé and Príncipe,855.44
Djibouti,853.58
Somalia,839.17
Tonga,835.64
Timor-Leste,825.64
Guam,825.43
Pakistan,824.6
Gibraltar,810.14
Seychelles,804.16
Turks and Caicos Islands,803.98
Liechtenstein,803.57
Bahamas,786.82
British Virgin Islands,782.14
United States Virgin Islands,779.76
Anguilla,760.25
San Marino,726.33
