team,squad_value,age
France,1520,27.0
England,1360,27.2
Spain,1220,26.8
Portugal,1010,28.1
Germany,947,28.1
Brazil,928,29.4
Argentina,783,29.1
Netherlands,754,27.8
Norway,590,26.8
Belgium,548,27.6
Côte d'Ivoire,522,25.9
Senegal,478,27.1
Turkey,474,27.7
Morocco,448,26.6
Sweden,406,27.6
Croatia,387,28.4
USA,386,26.9
Ecuador,369,26.1
Uruguay,359,28.8
Switzerland,333,28.3
Colombia,302,30.1
Japan,271,27.8
Algeria,257,26.9
Austria,245,28.6
Ghana,235,26.8
Canada,199,27.0
Mexico,192,27.9
Czech Republic,188,27.6
Scotland,170,29.2
Paraguay,154,29.1
Bosnia and Herzegovina,152,26.4
DR Congo,144,29.1
South Korea,139,28.1
Egypt,116,29.1
Uzbekistan,85,28.5
Australia,78,27.4
Tunisia,70,26.7
Haiti,56,27.6
Cabo Verde,55,29.7
South Africa,49,26.8
Saudi Arabia,41,28.5
Panama,35,30.5
New Zealand,34,28.1
Iran,32,30.4
Curaçao,26,28.0
Iraq,21,26.9
Jordan,20,28.5
Qatar,20,29.5
