date,round,scored_on,result,happened,pick,pick_probability,probability_of_result,correct,log_loss
2026-06-11,Group stage,90 minutes,Mexico 2-0 South Africa,Mexico,Mexico,0.6527,0.6527,True,0.4266
2026-06-11,Group stage,90 minutes,South Korea 2-1 Czech Republic,South Korea,Czech Republic,0.3817,0.3389,False,1.082
2026-06-12,Group stage,90 minutes,Canada 1-1 Bosnia and Herzegovina,Draw,Canada,0.6467,0.2275,False,1.4806
2026-06-12,Group stage,90 minutes,USA 4-1 Paraguay,USA,USA,0.4816,0.4816,True,0.7306
2026-06-13,Group stage,90 minutes,Qatar 1-1 Switzerland,Draw,Switzerland,0.8466,0.1082,False,2.2239
2026-06-13,Group stage,90 minutes,Brazil 1-1 Morocco,Draw,Brazil,0.3825,0.3379,False,1.085
2026-06-13,Group stage,90 minutes,Haiti 0-1 Scotland,Scotland,Scotland,0.7466,0.7466,True,0.2923
2026-06-13,Group stage,90 minutes,Australia 2-0 Turkey,Australia,Turkey,0.4345,0.2817,False,1.2671
2026-06-14,Group stage,90 minutes,Germany 7-1 Curaçao,Germany,Germany,0.9526,0.9526,True,0.0485
2026-06-14,Group stage,90 minutes,Côte d'Ivoire 1-0 Ecuador,Côte d'Ivoire,Ecuador,0.4609,0.1961,False,1.6291
2026-06-14,Group stage,90 minutes,Netherlands 2-2 Japan,Draw,Netherlands,0.4609,0.2787,False,1.2777
2026-06-14,Group stage,90 minutes,Sweden 5-1 Tunisia,Sweden,Sweden,0.4653,0.4653,True,0.7651
2026-06-15,Group stage,90 minutes,Saudi Arabia 1-1 Uruguay,Draw,Uruguay,0.669,0.2486,False,1.392
2026-06-15,Group stage,90 minutes,Spain 0-0 Cabo Verde,Draw,Spain,0.9355,0.0533,False,2.9313
2026-06-15,Group stage,90 minutes,Belgium 1-1 Egypt,Draw,Belgium,0.5927,0.2651,False,1.3275
2026-06-15,Group stage,90 minutes,Iran 2-2 New Zealand,Draw,Iran,0.5484,0.2773,False,1.2827
2026-06-16,Group stage,90 minutes,France 3-1 Senegal,France,France,0.6048,0.6048,True,0.5029
2026-06-16,Group stage,90 minutes,Iraq 1-4 Norway,Norway,Norway,0.8026,0.8026,True,0.2199
2026-06-16,Group stage,90 minutes,Argentina 3-0 Algeria,Argentina,Argentina,0.7109,0.7109,True,0.3413
2026-06-16,Group stage,90 minutes,Austria 3-1 Jordan,Austria,Austria,0.6853,0.6853,True,0.3779
2026-06-17,Group stage,90 minutes,Portugal 1-1 DR Congo,Draw,Portugal,0.7289,0.1963,False,1.6281
2026-06-17,Group stage,90 minutes,Uzbekistan 1-3 Colombia,Colombia,Colombia,0.642,0.642,True,0.4432
2026-06-17,Group stage,90 minutes,England 4-2 Croatia,England,England,0.5472,0.5472,True,0.603
2026-06-17,Group stage,90 minutes,Ghana 1-0 Panama,Ghana,Ghana,0.3653,0.3653,True,1.0071
2026-06-18,Group stage,90 minutes,Canada 6-0 Qatar,Canada,Canada,0.7707,0.7707,True,0.2605
2026-06-18,Group stage,90 minutes,Switzerland 4-1 Bosnia and Herzegovina,Switzerland,Switzerland,0.7351,0.7351,True,0.3078
2026-06-18,Group stage,90 minutes,Czech Republic 1-1 South Africa,Draw,Czech Republic,0.5554,0.2576,False,1.3562
2026-06-18,Group stage,90 minutes,Mexico 1-0 South Korea,Mexico,Mexico,0.5015,0.5015,True,0.6902
2026-06-19,Group stage,90 minutes,Scotland 0-1 Morocco,Morocco,Morocco,0.5614,0.5614,True,0.5774
2026-06-19,Group stage,90 minutes,Brazil 3-0 Haiti,Brazil,Brazil,0.9316,0.9316,True,0.0708
2026-06-19,Group stage,90 minutes,USA 2-0 Australia,USA,USA,0.4621,0.4621,True,0.772
2026-06-19,Group stage,90 minutes,Turkey 0-1 Paraguay,Paraguay,Turkey,0.4561,0.257,False,1.3589
2026-06-20,Group stage,90 minutes,Germany 2-1 Côte d'Ivoire,Germany,Germany,0.6728,0.6728,True,0.3964
2026-06-20,Group stage,90 minutes,Ecuador 0-0 Curaçao,Draw,Ecuador,0.811,0.1524,False,1.8815
2026-06-20,Group stage,90 minutes,Netherlands 5-1 Sweden,Netherlands,Netherlands,0.6653,0.6653,True,0.4075
2026-06-20,Group stage,90 minutes,Tunisia 0-4 Japan,Japan,Japan,0.5888,0.5888,True,0.5297
2026-06-21,Group stage,90 minutes,Spain 4-0 Saudi Arabia,Spain,Spain,0.8976,0.8976,True,0.1081
2026-06-21,Group stage,90 minutes,Uruguay 2-2 Cabo Verde,Draw,Uruguay,0.7356,0.2006,False,1.6066
2026-06-21,Group stage,90 minutes,New Zealand 1-3 Egypt,Egypt,Egypt,0.5113,0.5113,True,0.6709
2026-06-21,Group stage,90 minutes,Belgium 0-0 Iran,Draw,Belgium,0.6353,0.2269,False,1.4831
2026-06-22,Group stage,90 minutes,France 3-0 Iraq,France,France,0.875,0.875,True,0.1336
2026-06-22,Group stage,90 minutes,Norway 3-2 Senegal,Norway,Norway,0.4764,0.4764,True,0.7414
2026-06-22,Group stage,90 minutes,Argentina 2-0 Austria,Argentina,Argentina,0.6368,0.6368,True,0.4512
2026-06-22,Group stage,90 minutes,Jordan 1-2 Algeria,Algeria,Algeria,0.5984,0.5984,True,0.5135
2026-06-23,Group stage,90 minutes,Portugal 5-0 Uzbekistan,Portugal,Portugal,0.7329,0.7329,True,0.3107
2026-06-23,Group stage,90 minutes,Colombia 1-0 DR Congo,Colombia,Colombia,0.6391,0.6391,True,0.4477
2026-06-23,Group stage,90 minutes,England 0-0 Ghana,Draw,England,0.866,0.1054,False,2.25
2026-06-23,Group stage,90 minutes,Panama 0-1 Croatia,Croatia,Croatia,0.751,0.751,True,0.2864
2026-06-24,Group stage,90 minutes,Morocco 4-2 Haiti,Morocco,Morocco,0.8711,0.8711,True,0.138
2026-06-24,Group stage,90 minutes,Scotland 0-3 Brazil,Brazil,Brazil,0.6598,0.6598,True,0.4158
