team,implied_probability_pct,decimal_odds,snapshot_date,actual_price_date
France,16.15,6.19,2026-06-10,2026-06-09 23:00:05
Spain,16.05,6.23,2026-06-10,2026-06-09 23:00:05
England,10.65,9.39,2026-06-10,2026-06-09 23:00:06
Portugal,10.15,9.85,2026-06-10,2026-06-09 23:00:05
Argentina,8.75,11.43,2026-06-10,2026-06-09 23:00:04
Brazil,8.45,11.83,2026-06-10,2026-06-09 23:00:05
Germany,5.25,19.05,2026-06-10,2026-06-09 23:00:05
Netherlands,3.95,25.32,2026-06-10,2026-06-09 23:00:06
Norway,2.45,40.82,2026-06-10,2026-06-09 23:00:05
Belgium,2.25,44.44,2026-06-10,2026-06-09 23:00:05
Colombia,1.95,51.28,2026-06-10,2026-06-09 23:00:05
Japan,1.85,54.05,2026-06-10,2026-06-09 23:00:04
Morocco,1.75,57.14,2026-06-10,2026-06-09 23:00:04
Mexico,1.25,80.0,2026-06-10,2026-06-09 23:00:05
Switzerland,1.15,86.96,2026-06-10,2026-06-09 23:00:04
Turkiye,1.15,86.96,2026-06-10,2026-06-09 23:00:04
USA,1.15,86.96,2026-06-10,2026-06-09 23:00:06
Uruguay,1.05,95.24,2026-06-10,2026-06-09 23:00:04
Croatia,0.95,105.26,2026-06-10,2026-06-09 23:00:04
Ecuador,0.85,117.65,2026-06-10,2026-06-09 23:00:04
Senegal,0.65,153.85,2026-06-10,2026-06-09 23:00:04
Austria,0.45,222.22,2026-06-10,2026-06-09 23:00:05
Ivory Coast,0.45,222.22,2026-06-10,2026-06-09 23:00:06
Canada,0.35,285.71,2026-06-10,2026-06-09 23:00:06
Sweden,0.35,285.71,2026-06-10,2026-06-09 23:00:06
South Korea,0.25,400.0,2026-06-10,2026-06-09 23:00:04
Czechia,0.25,400.0,2026-06-10,2026-06-09 23:00:04
Egypt,0.25,400.0,2026-06-10,2026-06-09 23:00:05
Paraguay,0.25,400.0,2026-06-10,2026-06-09 23:00:04
Scotland,0.25,400.0,2026-06-10,2026-06-09 23:00:05
Bosnia-Herzegovina,0.15,666.67,2026-06-10,2026-06-09 23:00:05
Iran,0.15,666.67,2026-06-10,2026-06-09 23:00:04
Australia,0.15,666.67,2026-06-10,2026-06-09 23:00:06
Ghana,0.15,666.67,2026-06-10,2026-06-09 23:00:05
Algeria,0.15,666.67,2026-06-10,2026-06-09 23:00:06
Congo DR,0.15,666.67,2026-06-10,2026-06-09 23:00:05
Tunisia,0.05,2000.0,2026-06-10,2026-06-09 23:00:05
Curaçao,0.05,2000.0,2026-06-10,2026-06-09 23:00:05
Iraq,0.05,2000.0,2026-06-10,2026-06-09 23:00:05
Panama,0.05,2000.0,2026-06-10,2026-06-09 23:00:04
Cape Verde,0.05,2000.0,2026-06-10,2026-06-09 23:00:06
Haiti,0.05,2000.0,2026-06-10,2026-06-09 23:00:05
Saudi Arabia,0.05,2000.0,2026-06-10,2026-06-09 23:00:05
Qatar,0.05,2000.0,2026-06-10,2026-06-09 23:00:05
South Africa,0.05,2000.0,2026-06-10,2026-06-09 23:00:05
Uzbekistan,0.05,2000.0,2026-06-10,2026-06-09 23:00:04
New Zealand,0.05,2000.0,2026-06-10,2026-06-09 23:00:06
Jordan,0.05,2000.0,2026-06-10,2026-06-09 23:00:04
