team,current_elo
Spain,2157
Argentina,2115
France,2063
England,2024
Brazil,1991
Portugal,1989
Colombia,1982
Netherlands,1948
Ecuador,1938
Germany,1932
Norway,1914
Croatia,1912
Turkey,1911
Japan,1906
Belgium,1894
Uruguay,1892
Switzerland,1891
Mexico,1875
Denmark,1869
Italy,1869
Senegal,1860
Paraguay,1834
Austria,1830
Morocco,1827
Canada,1788
Scotland,1782
Ukraine,1780
Australia,1777
Algeria,1772
Russia,1772
Iran,1772
Nigeria,1767
South Korea,1758
Greece,1744
Czech Republic,1740
Serbia,1734
Venezuela,1733
Panama,1730
USA,1726
Chile,1717
Uzbekistan,1714
Kosovo,1714
Sweden,1712
Hungary,1710
Poland,1710
Peru,1699
Republic of Ireland,1699
Egypt,1696
Côte d'Ivoire,1695
Slovenia,1682
Wales,1682
Jordan,1680
Slovakia,1667
Georgia,1654
DR Congo,1652
Israel,1647
Romania,1639
Tunisia,1628
Bolivia,1621
Albania,1616
Cameroon,1614
Costa Rica,1608
Iraq,1607
Northern Ireland,1605
Bosnia and Herzegovina,1595
North Macedonia,1589
Mali,1588
Cabo Verde,1578
Saudi Arabia,1576
Honduras,1570
Iceland,1568
New Zealand,1562
Haiti,1548
Angola,1542
United Arab Emirates,1540
Finland,1536
Burkina Faso,1529
Jamaica,1527
Belarus,1522
South Africa,1517
Ghana,1510
Guatemala,1505
Oman,1480
Syria,1479
Palestine,1465
Guinea,1463
Montenegro,1461
Bulgaria,1458
Luxembourg,1450
Curaçao,1434
Suriname,1431
Kazakhstan,1428
China,1424
Qatar,1421
Libya,1420
Gambia,1419
Bahrain,1414
Benin,1405
Gabon,1401
Uganda,1394
Trinidad and Tobago,1386
Faroe Islands,1386
Niger,1382
Equatorial Guinea,1380
Madagascar,1380
Togo,1379
Thailand,1376
Armenia,1373
North Korea,1373
Comoros,1373
Indonesia,1372
Zimbabwe,1372
Zambia,1371
Kenya,1363
Estonia,1360
Vietnam,1351
Sudan,1350
Mozambique,1342
El Salvador,1342
Sierra Leone,1341
Guadeloupe,1338
Rwanda,1336
Nicaragua,1333
Kuwait,1332
Mauritania,1329
Azerbaijan,1322
Cyprus,1314
Tanzania,1313
Martinique,1312
Liberia,1304
Namibia,1303
Kyrgyzstan,1295
Malaysia,1293
Guyana,1292
Lebanon,1288
Latvia,1288
Ethiopia,1287
New Caledonia,1286
Burundi,1285
Tajikistan,1285
Dominican Republic,1283
Lithuania,1279
Moldova,1270
Botswana,1267
Malta,1255
Guinea-Bissau,1248
Malawi,1239
Cuba,1239
Central African Republic,1236
French Guiana,1221
Turkmenistan,1209
Congo,1206
Lesotho,1198
Yemen,1195
Philippines,1179
Tahiti,1179
Eswatini,1148
Saint Vincent and the Grenadines,1141
Papua New Guinea,1136
Puerto Rico,1135
Singapore,1134
India,1128
Vanuatu,1117
Bermuda,1117
South Sudan,1109
Fiji,1104
Hong Kong,1101
Grenada,1098
Andorra,1080
Chad,1073
Belize,1073
Mauritius,1073
Solomon Islands,1054
Saint Martin,1042
São Tomé and Príncipe,1035
Saint Kitts and Nevis,1030
Gibraltar,1011
Saint Lucia,1003
Myanmar,984
Aruba,979
Somalia,979
Sint Maarten,975
Montserrat,972
Afghanistan,961
Bangladesh,942
Djibouti,940
Dominica,934
Pakistan,909
Barbados,898
Liechtenstein,895
Antigua and Barbuda,894
Nepal,893
Cambodia,871
Seychelles,853
Sri Lanka,836
San Marino,825
Taiwan,822
Bonaire,817
Maldives,801
Cayman Islands,800
British Virgin Islands,743
Laos,734
Timor-Leste,734
Mongolia,726
Guam,706
Bahamas,685
Turks and Caicos Islands,658
Anguilla,646
United States Virgin Islands,628
Bhutan,623
Brunei,572
