date,team,opponent,elo_after,elo_change,score
2021-06-03,Afghanistan,Bangladesh,1131,-14,1 - 1
2021-06-11,Afghanistan,Oman,1127,-4,2 - 1
2021-06-15,Afghanistan,India,1131,4,1 - 1
2021-11-16,Afghanistan,Indonesia,1141,10,1 - 0
2022-06-01,Afghanistan,Vietnam,1137,-4,2 - 0
2022-06-08,Afghanistan,Hong Kong,1117,-20,2 - 1
2022-06-11,Afghanistan,India,1107,-10,2 - 1
2022-06-14,Afghanistan,Cambodia,1094,-13,2 - 2
2023-06-10,Afghanistan,Kyrgyzstan,1086,-8,1 - 0
2023-06-13,Afghanistan,Iran,1085,-1,6 - 1
2023-09-03,Afghanistan,Bangladesh,1083,-2,0 - 0
2023-09-07,Afghanistan,Bangladesh,1081,-2,1 - 1
2023-09-12,Afghanistan,Philippines,1072,-9,2 - 1
2023-10-12,Afghanistan,Mongolia,1079,7,1 - 0
2023-10-17,Afghanistan,Mongolia,1090,11,0 - 1
2023-11-16,Afghanistan,Qatar,1086,-4,8 - 1
2023-11-21,Afghanistan,Kuwait,1073,-13,4 - 0
2024-03-21,Afghanistan,India,1082,9,0 - 0
2024-03-26,Afghanistan,India,1114,32,1 - 2
2024-06-06,Afghanistan,Qatar,1132,18,0 - 0
2024-06-11,Afghanistan,Kuwait,1126,-6,1 - 0
2024-11-16,Afghanistan,Nepal,1090,-36,2 - 0
2024-11-19,Afghanistan,Tajikistan,1083,-7,3 - 1
2025-03-21,Afghanistan,Thailand,1080,-3,2 - 0
2025-03-25,Afghanistan,Myanmar,1056,-24,2 - 1
2025-06-10,Afghanistan,Syria,1052,-4,1 - 0
2025-09-01,Afghanistan,Tajikistan,1043,-9,2 - 0
2025-09-04,Afghanistan,India,1050,7,0 - 0
2025-10-09,Afghanistan,Pakistan,1042,-8,0 - 0
2025-10-14,Afghanistan,Pakistan,1033,-11,1 - 1
2026-03-26,Afghanistan,Myanmar,1016,-19,2 - 1
2026-03-31,Afghanistan,Syria,1011,-5,5 - 1
2026-06-01,Afghanistan,Maldives,1023,12,0 - 1
2026-06-07,Afghanistan,Pakistan,990,-33,2 - 0
2026-06-10,Afghanistan,Pakistan,961,-29,2 - 0
2021-06-05,Albania,Wales,1560,8,0 - 0
2021-06-08,Albania,Czech Republic,1556,-4,3 - 1
2021-09-02,Albania,Poland,1546,-10,4 - 1
2021-09-05,Albania,Hungary,1571,25,1 - 0
2021-09-08,Albania,San Marino,1572,1,5 - 0
2021-10-09,Albania,Hungary,1604,32,0 - 1
2021-10-12,Albania,Poland,1588,-16,0 - 1
2021-11-12,Albania,England,1585,-3,5 - 0
2021-11-15,Albania,Andorra,1586,1,1 - 0
